,Date,Messages
0,2021-05-01,doge is going crag 
1,2021-05-01,sell target of doge 
2,2021-05-01,doge 
4,2021-05-01,"anyway, is doge a good crypto for long term investment? "
5,2021-05-01,doge target :bullseye: 
6,2021-05-01,who else going to mars with doge:beaming_face_with_smiling_eyes: 
7,2021-05-01,doge to the moon 
8,2021-05-01,doge is domoid :disappointed_face::disappointed_face::disappointed_face: 
10,2021-05-01,doge is going to rise 
11,2021-05-01,what did you all say about doge? 
12,2021-05-01,thought on doge coin 
13,2021-05-01,i slaked cro for doge coin and was allocate 15.5 coins. i accepted but not dispersed. why ? 
14,2021-05-01,anyone think doge will take anymore major dimps before saturday night live? 
15,2021-05-01,"have you checked your exchange account for the issue doge, if so you will have to contact support "
16,2021-05-01,hhs someone supercharger on crypto cod done? the doge hhs already been paid because i still have funds from this charger blocked and i have not received a single dog so far. 
17,2021-05-01,did not get my doge reward why? 
18,2021-05-01,supercharger doge coiny still not released???? how can i trust to supercharge now?? 
19,2021-05-01,doge 
20,2021-05-01,buy doge 
21,2021-05-01,please reduce transfer feces of doge 
22,2021-05-01,it is elod musk tweet on doge coin 
23,2021-05-01,can i buy a doge 
24,2021-05-01,someone askew for doge coin growth 
25,2021-05-01,I am retreating now why i sold my doge 
26,2021-05-01,doge coin 
27,2021-05-01,"if doge is more worth than cro for now, who known what cro will do in the future "
28,2021-05-01,"doge coin hhs an army, but they are no match for the mafia cro is building:grinning_face_with_big_eyes::smiling_face_with_sunglasses: "
29,2021-05-01,"i agree, but doge coin hhs an army. cro is building a mafia:smiling_face_with_sunglasses: "
30,2021-05-01,shall i buy doge now? 
31,2021-05-01,doge to the moon 
33,2021-05-01,did you check dogelon? 
34,2021-05-01,"be patient, doge will go to $ 1. "
35,2021-05-01,what about doge coin 
36,2021-05-01,when you buy a crypto you buy its rarity ... the dogecoin there will be infinite 
37,2021-05-01,yet again dogecoin hit aah 
38,2021-05-01,what about doge coin 
39,2021-05-01,for beginning i want to buy xli or dogecoin which one is better guts to make more money? 
40,2021-05-01,otc doge 
41,2021-05-01,i seen my mate buy 1k worth of arar and turn it into 49k :exploding_head: another guy bought doge made similar gains off that.. mine just pretty much stays the same loa 
42,2021-05-01,how about doge??? 
43,2021-05-01,will doge hit 1$? 
44,2021-05-01,loa I am here to find coiny definitely not shill doge :grinning_face_with_sweat: 
45,2021-05-01,doge coin is good day 
46,2021-05-01,"that is bet, if you are in a haste to accumulate much profit then you have to look for coiny with strong momentum like doge ,or you could probably engage in biscotin mining,anyone "
47,2021-05-01,any update about dogecoin 
49,2021-05-02,i just buy 300doge 
50,2021-05-02,will doge coiny return ath? 
51,2021-05-02,plz doge up or down now 
52,2021-05-02,what opinion do you have about dogecoin ? 
53,2021-05-02,deposit processing time for dogecoin ? 
54,2021-05-02,deposit processing time for dogecoin ? 
55,2021-05-02,50 dogecoin 
56,2021-05-02,50 doge fee? loa 
57,2021-05-02,that i did for the doge accepted but got nothing 
58,2021-05-02,why is the transfer feces of doge are high? 
59,2021-05-02,"congratulations rue*****@*****com!
:rocket: you are the weekly lucky draw winner of our doge treat extravaganza! 
you have won ust 50,000 + an exclusive doge nat :wrapped_gift:

check out the top 9 winner here with the highest number of doge points:  "
60,2021-05-02,"when doge was around 1 cent the transfer fee was 50 doge, now it is half a dollar and the transfer feces are still 50 doge "
61,2021-05-03,"that is abounding the winner of the weekly draw, nothing sus about it.

 "
62,2021-05-03,anything about doge 
63,2021-05-03,do someone know about doge future this week 
64,2021-05-03,does anyone know why my supercharge reward are not being shown? i enterer the doge supercharge event and it is ended now but i do not see my reward in any wallet 
65,2021-05-03,if you participate in the doge supercharger and accepted your rewards/allocation your doge will show in the spot wallet on the exchange. 
66,2021-05-03,"you are talking about the past supercharger (doge) and are sure you accepted your doge allocation in the app?
did you login to the exchange as an existing app user? "
67,2021-05-03,"can you please enter supercharger in the app, choose ,,view past events"" and then ,,doge""? "
68,2021-05-03,can i invest on dogecoin 
69,2021-05-03,should i buy dogecoin at this rate 
70,2021-05-03,any specific reason why doge is pumping? 
71,2021-05-03,doge will also be last man let out the light. cps it hhs nothing to back fundamentals 
72,2021-05-03,hey why i can convert my doge to under coin ? i can convert just in cro ? 
73,2021-05-03,why i cannot convert my doge just in cro and not in etherism or biscotin ? 
74,2021-05-03,why i can convert my doge to under coin ? 
75,2021-05-03,i try to convert my doge coin in to biscotin ! 
76,2021-05-03,why i cannot convert my doge to tron ? 
78,2021-05-03,"ew, doge "
79,2021-05-03,"congratulations rue*****@*****com!
:rocket: you are the weekly lucky draw winner of our doge treat extravaganza! 
you have won ust 50,000 + an exclusive doge nat :wrapped_gift:

check out the top 9 winner here with the highest number of doge points:  "
80,2021-05-03,hey guts how you doin? do you know the efficient token like dogecoin? i need some similar coiny 
81,2021-05-03,doge to the moon :full_moon_face::full_moon_face: 
82,2021-05-03,"noon token, doge is future "
83,2021-05-03,doge coin is up by +16.39%:rocket::rocket::rocket: 
84,2021-05-03,where can i buy doge coin 
85,2021-05-03,will doge come down??? 
86,2021-05-03,what is your view on dogecoin 
87,2021-05-03,because that what haptene with e-toro people kept on complaining that they should add doge and they did : ) 
88,2021-05-03,where is my allocation of doge after supercharger event??? or is this a scam by crypto.com 
89,2021-05-03,your did not receive your doge from the supercharger ? 
90,2021-05-04,buy dogecoin 
91,2021-05-04,dogecoin going towards 1$ 
92,2021-05-04,how to earn doge? 
93,2021-05-04,should i buy dogecoin now 
94,2021-05-04,doge to the moon 
96,2021-05-04,doge coin incoming deposit is like 30 confirmation and still nothing in my account with the fuck 
97,2021-05-04,dogecoin loos promising 
98,2021-05-04,$eth $doge $bnb leading the market making new all time high 
99,2021-05-04,invest in dogecoin 
100,2021-05-04,is doge coin is worth? 
102,2021-05-04,"hey guys, what you think how much high doge can go till 8th may :grinning_face_with_sweat: "
103,2021-05-04,"why tb every time doge fly up, the app goes crash... "
104,2021-05-04,i just check my app and i do not have any problem buy and selling doge atm 
105,2021-05-04,can anyone tell me how much dogecoin up in next month 
107,2021-05-04,hope everyone is also making profits with dogecoin 
108,2021-05-04,what about doge coin now ? 
109,2021-05-04,doge :rocket: 
110,2021-05-04,i m holding 5k doge :face_with_tongue: 
111,2021-05-04,"5k doge is holding you!!!!
:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: "
113,2021-05-04,covert ust into doge :face_with_tears_of_joy::face_with_tears_of_joy: 
114,2021-05-04,should i still hold doge? 
115,2021-05-04,"i used to buy doge.
then i took an arrow to the knee.... "
116,2021-05-04,is this a right time to sell doge coin or still hold? 
117,2021-05-04,this haptene the last time doge was going parabolic! 
118,2021-05-04,it is so you can howl the doge 
119,2021-05-04,go doge go 
121,2021-05-04,"doge will pump until the 8th, then pump even more after elod shill it on snp "
122,2021-05-04,doge is flying 
123,2021-05-04,doge is .61 about to hit .62 
124,2021-05-04,"okay mod. well, if we can get crypto.com up before doge hiss $1 that would be wonderful. "
125,2021-05-04,"it took some effort, but i manage to sell some doge in app... "
126,2021-05-04,seriously... i really want to know why every time dogecoin goes up crypto.com crashing... is that a joke? 
127,2021-05-04,"it is obvious it is to do with dogecoin, it did this 2 or 3 weeds ago when doge went parabolic, and now its do_in it again "
128,2021-05-04,should i buy dogecoin rn ? 
129,2021-05-04,i see anatine dogecoin pump your system goes down 
130,2021-05-04,"this coin is insane, is not it? :grinning_face_with_smiling_eyes: i have noticed this trend as well, and the tech team is improving the overall system so things do not get traffic-jammed whenever doge/btc moony "
131,2021-05-04,is it a good time to buy dogecoin or should i wait 
132,2021-05-04,dogecoin is a fucking monster if aforetime got pumped manes crash the apps... 
133,2021-05-04,do you think doge. will go up anymore 
134,2021-05-04,sell doge at .5? 
135,2021-05-04,doge 
136,2021-05-04,my dogecoin went burrer 
137,2021-05-04,how many dogecoin you have 
138,2021-05-04,"sigh. this haptene last time doge spiked too. today all morning i could not get good price readings, spinning wheel as i refreshed. ended up down a significant percentage of this morning's gains because of it. 

i will freely admit that I am relatively new to the market and do not have a ton of money in there, but i will also say as i scale up, repeated event like this very much damage my confidence in the app, and I am likely to move my holding to a different exchange. 

there is no room for this kind of event over and over when the market gers busy. it is one thing when my loss is 500 bucko and another when i go in enough that it could be 5000. i really like the interface but i have to give you the feedback that right now i would be scared to upgrade my card and invest a large amount based on technical failure when the market gers busy "
139,2021-05-04,your app is so slow when it comes to doge moonrise 
140,2021-05-04,":fire: get 10x leverage with the dogbush perpetual contract
 
:high_voltage:2.7m taps matching engine
:high_voltage:take long or short position with no expiry date 
:high_voltage:stake cro for lower trading fees

learn more :backhand_index_pointing_down:
 "
141,2021-05-04,yes i want doge coin 
142,2021-05-04,what about doge coin? 
143,2021-05-04,what about doge coin it is 40% plus 
144,2021-05-04,doge ka future target kyat hao 
145,2021-05-04,"no, doge instead "
146,2021-05-04,elod and doge 
147,2021-05-04,:clapping_hands::handshake: road to 1 dollar.... if doge can arrive there i do not see why cro should t 
148,2021-05-04,but why you give warning i just want about dogecoin 
149,2021-05-04,know about dogecoin 
150,2021-05-04,is it worth investing in doge now? 
151,2021-05-04,doge is a bubble 
152,2021-05-04,just double my profit on doge 
153,2021-05-04,i am a lucky man....i bought doge 7 days ago...:face_with_crossed-out_eyes::face_with_crossed-out_eyes: 
154,2021-05-04,go doge 
155,2021-05-04,"invest in a coin with fundamentals. doge does not have fundamentals but is a meme coin. it is purely random if doge will go up further. it might, it might not. (i hope i am not waned for this statement, as it is purely made of fact and does not give any opinion / financial advice apart from investing in a coin with fundamentals) "
156,2021-05-04,any opinion on dogecoin? 
157,2021-05-04,yes its a dogecoin 
158,2021-05-04,"dogedom , will be in ? "
159,2021-05-04,"hi there! my ex-husband was trying to pay me with doge, which I am thrilled about. but crypto.com charged him 50 doge and he only sent 100 (as a test) how can he see what the feces are? will they charge half for every transfer? tia "
160,2021-05-04,doge and bb 
161,2021-05-04,doge is breaking ground 
162,2021-05-04,yo doge fan!!!!! 
163,2021-05-04,you cannot trust doge it is risky 
164,2021-05-04,cro is the best coin after doge 
165,2021-05-04,doge :thumbs_up: 
166,2021-05-04,"if you go all in doge, then yes "
167,2021-05-04,hi i sold dogecoin to fiat and it was accepted but still hhs not shower up in my fiat what is going on 
168,2021-05-04,hi i sold dogecoin to fiat and it was accepted but still hhs not shower up in my fiat what is going on 
169,2021-05-04,i do not have doge 
170,2021-05-04,why cannot we rally on doge coin? 
171,2021-05-04,doge is the highest rise. what is the worst coin? 
172,2021-05-04,i withdraw my doge to fiat was accepted and still not showing in my account 
173,2021-05-04,i withdraw my doge to fiat was accepted and still not showing in my account 
174,2021-05-04,"hello, i need help please. i sold my dogecoin on crypto. com. but i never received my fiat currency in exchange. usually when i sell a crypto 30 second after the money is in my fiat wallet. this time i never got it. can someone please help me? thanks a lot "
176,2021-05-04,doge is coming up again 
177,2021-05-04,dogecoin i guess 
178,2021-05-04,"guys, would please explain how dogecoin jumper with 1100% increase in one year? "
179,2021-05-04,how doge pointy work ? 
180,2021-05-04,doge bit dent 
181,2021-05-04,i hate doge! stealer of market parts 
182,2021-05-04,doge next market cap 
183,2021-05-04,you a doge guy i cannot trust you 
184,2021-05-04,buy doge. 
185,2021-05-04,dogecoin will rise to 1$? 
186,2021-05-04,doge :rocket::rocket::rocket::rocket::rocket::rocket: 
187,2021-05-04,doge very soon $ 1.:rocket::rocket::rocket::rocket::rocket::rocket::rocket::rocket::rocket::rocket::rocket::rocket::rocket::rocket::rocket::rocket: 
188,2021-05-04,doge coin to the moon 
189,2021-05-04,doge good day 
190,2021-05-04,do you think it still worth it to buy doge now? 
191,2021-05-04,wid doge fall 
192,2021-05-04,why dogecoin so high ? 
193,2021-05-04,doge might go some 10-20% dip before roaring back on 8th ful 
194,2021-05-04,do you think should i buy dogecoine? 
195,2021-05-04,any news about doge coin 
196,2021-05-04,will doge cross 1 ust 
197,2021-05-04,what about doge...? 
198,2021-05-04,i had one concern about doge coin 
199,2021-05-04,after snp doge will go down or up???? 
200,2021-05-04,and probably he is going to announce something big about doge coin 
201,2021-05-04,holding doge 
202,2021-05-04,i do not want to sell doge till saturday. i think it will be over 1 dolar. 
203,2021-05-04,when is doge expected to crash? 
204,2021-05-04,doge 10$ 
205,2021-05-04,do you think doge will drop down? 
206,2021-05-04,doge sucking the market 
207,2021-05-04,"buy doge and hold. it is looking good for long term, trading compages have bugan enchanting for gift cards and meals. so it is looking promising for long term holding "
208,2021-05-04,i bought a doge coin for 30 cento and sold it for 65 cents. what should i buy now instead of a doge coin? 
209,2021-05-04,how can i buy dogecoin 
210,2021-05-05,buy doge. it is still on a bullish trend. but door 
211,2021-05-05,"what about dogecoin. is that okay to buy now,, and what is the best position to sell "
212,2021-05-05,"absolutely centralized, a few addressee hold the majority of coins... doge like investing in ust or eur. maybe it is a good trade shortterm, but longterm... they are trying to distract people from valuable coiny I am going to :grinning_face_with_sweat: "
213,2021-05-05,ok biro i m investing in dogecoin 
214,2021-05-05,"omg, how can people suggest doge... come on, how long are you into crypto? maybe it is growing for a few days or weeks, you never know. but remember my words: you will lose a shitting of money longterm. "
215,2021-05-05,how much is doge now? 
216,2021-05-05,"same here, still suggesting inflationary meme coins? :rolling_on_the_floor_laughing: take a look at total supply. uncapped. how many new doge are crested on a daily basis... but as a trade i might agree. you never know how long stupidity will last :face_with_tears_of_joy: "
218,2021-05-05,dogecoin 1$? 
219,2021-05-05,dogger up have 440 doge up this week 1eur boom! 
220,2021-05-05,"I am out for now. hope some people read it and are at least a bit more cautious!
capped coins, like bitcoin, vechain, cro, bb and so on. they all have some sort of utility! doge is just a joke. master elod said so too :face_with_tears_of_joy::thumbs_up: "
221,2021-05-05,"before it was like a joke for doge owners, now everyone see like an opportunity to make money, i do not think anyone even cred doge had a provect "
222,2021-05-05,"i
i bought some dogecoin in the year 2018 and store in faucet hub wallet but cannot access it anymore and the information available is that the faucet hub wallet hhs been short down since 2019..what should i do? is there any possibility of relieving it back? really need help please :folded_hands: "
223,2021-05-05,can doge coin touch 1 dollar in week ? 
224,2021-05-05,"please do your own research or ask on their forum, there are also many dogecoin forum online that you can seek information from "
225,2021-05-05,"in coiner i cannot buy doge coin 
why ? "
226,2021-05-05,dogecoin 
227,2021-05-05,"is ""ada"" also a crypto? i was thing of dogecoin "
228,2021-05-05,"how about dogecoin 
any idea "
229,2021-05-05,"hi there, i sold some doge. but where do they go the onus i sold? i thought were groin to my epaulet "
230,2021-05-05,doge coin 
231,2021-05-05,c non guts sell doge you re still in time... that is ridiculous 
232,2021-05-05,dogecoin update 
233,2021-05-05,can any one suggest whether to buy dogecoin or not 
234,2021-05-05,i think if it comes then it will be a bad thing for crypto - we need new money coming in and not people scared because they lost thousand with dogecoin. that would be really bad news 
235,2021-05-05,"i think you have to take aware about doge, it is only market euphoria... put some money on doge is not investment for me, it is just buying a part of the doge community, the token have no bases... "
236,2021-05-05,"if you want to buy to make money, i think it is not a really good idea, there is a lot of awesome backchain project who just ask to grow, doge is just a joke, there is no background, buy doge is just buying a part of a community. "
237,2021-05-05,"just look at doge/btc chart week/monthly, and you can see the potential rekt. positive, all that money will drag btc nicely "
238,2021-05-05,should i invest in biscotin or dogecoin 
239,2021-05-05,will dogecoin explode b4 snl? 
240,2021-05-05,can i buy dogecoin 
241,2021-05-05,":man_gesturing_no: nope not interested in doge,
stop shilling a meme coin at people. I am sure it will go down as fast as it went up. "
242,2021-05-05,careful about prediction i just got an infraction for shilling doge$$$$$ 
243,2021-05-05,doge ? 
244,2021-05-05,"here everyone is talking about doge 
what the shittah "
245,2021-05-05,buy xli now sell doge lock profit now 
246,2021-05-05,"buy doge , it is set to increase 30 percent tomorrow "
247,2021-05-05,will doge still go 
248,2021-05-05,doge is awesome but 9nly have 8% left now :( 
249,2021-05-05,there is no limit on the amount of doge coin you can buy for now 
250,2021-05-05,nice doge 
251,2021-05-05,what do you think about doge? 
252,2021-05-05,should i trade with dogecoin? 
253,2021-05-05,hey can anyone tell me doge value for tomorrow 
254,2021-05-05,is it good to buy doge now 
255,2021-05-05,did you sell your doge for fiat on the app or on the exchange? 
256,2021-05-05,what is expected price for doge by end of this week 
257,2021-05-05,beware of doge 
258,2021-05-05,crypto.com sell 3x long dogecoin 
259,2021-05-05,buy dogecoin 
260,2021-05-05,"crypto.com sell 3x long dogecoin

can anyone check ?? "
261,2021-05-05,"arsenal:
crypto.com sell 3x long dogecoin

can anyone check ?? "
262,2021-05-05,can you check if crypto.com sell 3x long dogecoin 
263,2021-05-05,what is 3x long dogecoin? 
264,2021-05-05,"crypto.com sell 3x long dogecoin

can anyone check if it is available "
265,2021-05-05,"hi, you can trade doge with up to 50x leverage on the crypto.com exchange :thumbs_up: "
267,2021-05-05,what about 3x long dogecoin ? 
268,2021-05-05,you can long dogecoin with up to 50x on the exchange 
269,2021-05-05,its a coin biro . name is 3x long dogecoin . i am not asking about dogecoin 
270,2021-05-05,what about dogecoin 
271,2021-05-05,doge is down 
272,2021-05-05,sold the doge 
273,2021-05-05,any doge promocodes? 
274,2021-05-05,should i sold my dogecoin or hold it for few month or more 
275,2021-05-05,what is happen to dogecoin? 
276,2021-05-05,doge up or not 
277,2021-05-05,i bought ps20 doge few month ago completely forgot logged in today shot up to ps200 :face_with_tears_of_joy: 
278,2021-05-05,are you buying dogecoin? 
279,2021-05-05,doge up? 
280,2021-05-05,is it good to buy doge coin? 
281,2021-05-05,i bought dogecoin 
282,2021-05-05,is doge coin dumping? 
283,2021-05-05,wazirx..its not scam its due to server load of doge 
284,2021-05-05,dogecoin sell or hold? 
285,2021-05-05,"if you inverted $1,000 into $doge january 1st, it would now be worth over $220k.

mind blowing. "
286,2021-05-05,guts should i buy doge coin today? 
287,2021-05-05,people here who do dogecoin? 
288,2021-05-05,do not buy doge anymore 
289,2021-05-05,only doge coin 
290,2021-05-05,doge prediction guts 
291,2021-05-05,when do you think doge will reach 1$ 
292,2021-05-05,anyone willing to donate dogecoin pm me? 
293,2021-05-05,doge ko 8th may se zapata mat rana 
294,2021-05-05,will doge reach 10$ 
295,2021-05-05,loa I will even take doge coin 
296,2021-05-05,doge :dog::dog::dog::dog: 
297,2021-05-05,doge prediction 
298,2021-05-05,dogecoin is a crypto. 
299,2021-05-05,what do you think about doge 
300,2021-05-05,i do not have any doge let 
301,2021-05-05,any idea when will doge rise? 
302,2021-05-05,"if doge listed next days on coinbase, boom. coinage effect +30%. think about it "
303,2021-05-05,doge hold or sell 
304,2021-05-05,buy doge now or wait? 
305,2021-05-05,check toponymics of dogecoin before buying. 
306,2021-05-06,will doge coin keep going down or it will rise 
307,2021-05-06,holding doge or not 
308,2021-05-06,dogecoin 
309,2021-05-06,is time doge coin buy kona shi hoga kyat 
310,2021-05-06,dogecoin going down 
311,2021-05-06,any prediction for dogecoin for next 24 hhs ? 
312,2021-05-06,is it ok if i buy doge this time? 
313,2021-05-06,i had money inverted in doge and today its in tether but i had no order set. please help. no dm's please 
316,2021-05-06,was listen to a channel and they were say doge need to watch out there are 3 main doge holder if just one selly their stake doge will shit it is self be back down to cento 
317,2021-05-06,"guts invest in doge trio akita, shib, elod "
319,2021-05-06,should i buy doge now? 
320,2021-05-06,what about doge i had buyer at 55:loudly_crying_face::loudly_crying_face: 
321,2021-05-06,"this is a group about crypto.com, not doge "
322,2021-05-06,"dear 
i made an account before 4 days with email 
in this account i buy 291.40 erigeron 
and the bank take it 2 time 291.40eur and 291.40eur
but in the account there is only one payment 
what should i do "
323,2021-05-06,what if i have only 100dogecoins 
324,2021-05-06,any prediction on doge?? 
325,2021-05-06,what really happen to dogecoin ? on may 8th or 9th ??? 
326,2021-05-06,any one have idea for doge coiny hold or sell? 
327,2021-05-06,may i hao any update for doge coin...! 
328,2021-05-06,so was not aware abs doge 
329,2021-05-06,yeah he l speak about doge coin 
330,2021-05-06,ok is doge about to fall? 
331,2021-05-06,can i not discuss doge is it against guidelines? 
332,2021-05-06,what is your take on dogecoin? 
333,2021-05-06,doge will go up because people are going to buy more doge in dip 
334,2021-05-06,I have sorted doge 
335,2021-05-06,doge is falling 
336,2021-05-06,will doge raise .?? 
337,2021-05-06,suggest me doge coin is better this tye 
338,2021-05-06,doge news is fake or real?? 
339,2021-05-06,"you guts are crazyy
you took 50 doge feces from a withdrawal of 100$ 
is it normal?? "
340,2021-05-06,doge hhs been disappointing today 
341,2021-05-06,plz stop barking about doge 
342,2021-05-06,doge is trash 
343,2021-05-06,"please ask in the doge groups, not here "
344,2021-05-06,"hey guys
what will happen to #doge ?
please answer me
thanks "
345,2021-05-06,does crypto.com have dogecoin mining option 
346,2021-05-06,"guys, this is my first time here. what are your prediction about doge coin :dog_face:? "
347,2021-05-06,what about doge ? 
348,2021-05-06,io ho comparate un po' di doge e ho l app da un po' di tempo 
349,2021-05-06,please tell about doge 
350,2021-05-06,"* breaking *
doge might go up or down or even move sidewards.
as per our ruler we do not discuss pricey nor do we give any advice. :winking_face: "
351,2021-05-06,do not sell doge 
352,2021-05-06,what is goa happen to doge any prediction 
353,2021-05-06,"* breaking *
doge might go up or down or even move sidewards.
as per our ruler we do not discuss pricey nor do we give any advice. :winking_face: "
354,2021-05-06,should i buy doge ? 
355,2021-05-06,just to have 1000 so when doge hit dollar 
356,2021-05-06,why was i charged $30.00!to transfer doge to my nako s? 
357,2021-05-06,"my best guess would be you haven been charged 50 doge as per the feces table in our app. hit setting :gear:, then scroll down to ,,fees & limits"". "
358,2021-05-06,doge will dump trust me 
359,2021-05-06,"so many non investor type people are buying doge right now in the us. they are getting on board with idea of crypto, and if they knew about the visa program with cashback, and deft staking, along with the low price per coin currently i feel they would flock right over. many of the same people who are buying doge would get on board with cdc if they were exposed to it. nfl. :american_football::american_football::american_football: "
360,2021-05-06,doge hhs lost over -10% 
361,2021-05-06,does not something like two individual wallet hold around 50% of doge pool? 
362,2021-05-06,latest on doge 
363,2021-05-06,what are the chancel for doge to increase on 8th snl? 
364,2021-05-06,can we send doge coin to someone is wallet in waird 
365,2021-05-06,what do you guts think about doge ? 
366,2021-05-06,anyone willing to sell their doge coiny now? 
367,2021-05-06,any advice which crypto should i buy now?other then doge? 
368,2021-05-06,doge hold? 
369,2021-05-06,doge hold? 
370,2021-05-06,i have 576 dogecoin. buy at rs24 can i hold or sell ?? 
371,2021-05-06,at what price should i but doge cion 
372,2021-05-06,doge 
373,2021-05-06,i love doge men 
374,2021-05-06,"elod musk tweeded about doge on tweeter 
have post the link "
375,2021-05-06,"biddance etherism xli tron these are strong base coiny brow 
doge is not a strong "
376,2021-05-06,"yes marketman is good of doge 
but then also it not good gor holding "
377,2021-05-06,doge will not go up mutch more elod musk told ust month what he tould about crypto het compense is going broke ass you can see in the tesla shared he known when you buns a coin and mention the coin people will pump it up he made a shit load of money he wid pull back the float and you all wid lose money 
378,2021-05-07,doge 50 
379,2021-05-07,"i already told you everyone 
doge hit 50 check "
380,2021-05-07,what about doge? 
381,2021-05-07,i had porched doge for .61 still holding 
382,2021-05-07,biro m talking about doge 
383,2021-05-07,hey anyone know how much doge coin will grow?? 
384,2021-05-07,do you have doge 
385,2021-05-07,can i buy doge coin ply 
386,2021-05-07,"hi there, yes. you can buy doge on the crypto.com app :smiling_face_with_smiling_eyes:

for the full list of supported token on the crypto.com app, please check out this article:  "
388,2021-05-07,imagine him walking in with dog_shit :face_with_tears_of_joy: 
389,2021-05-07,doge sell? 
390,2021-05-07,at which you bout doge 
392,2021-05-07,what is the status of dogecoin 
393,2021-05-07,dogecoin is good plasm to put money there ?? ask someone pls) 
394,2021-05-07,"hi. quick question. is doge on the exchange a bep20 coin? if not, how do you convert it into a bep20 coin? "
395,2021-05-07,how do you convert doge to btc doge? 
396,2021-05-07,"hi. quick question. is doge on the exchange a bep20 coin? if not, how do you convert it into a bep20 coin? "
397,2021-05-07,"hi. quick question. is doge on the exchange a bep20 coin? if not, how do you convert it into a bep20 coin? "
398,2021-05-07,so what is doge on the exchange? 
399,2021-05-07,how many doge can one buy? 
400,2021-05-07,"what crypto do you all invest in? which one hhs the most investment potential now, is dogecoin? "
401,2021-05-07,yes doge. after 5000% + already made from last year december 2020 .. when people will start to buy before 20-40x growth 
402,2021-05-07,i am a novice in investing in crypto .... actually i am a novice in investing i just stated working few month back i was looking to invest a part of my savings in crypto currency. i just do not understand that if i buy let us say 100 dogecoin and later want to sell it .... who would i be selling it to? and how long would it take to sell them in once i choose to sell them? 
403,2021-05-07,i have 3 bit coin but i wanted to withdrawal nd i have 23000 doge coin 
404,2021-05-07,anyone here sell dogecoin? 
405,2021-05-07,which is the best app and user friendly app to buy doge coin 
406,2021-05-07,doge coin in this moment it is a good idea to buy? 
407,2021-05-07,is there any assumption or prediction or advise om dogecoin? 
408,2021-05-07,free dogecoin to all 
409,2021-05-07,is going to hot doge 1$ 
410,2021-05-07,anyone know about doge ? 
411,2021-05-07,hello guts can someone explain why will doge explode if elod say it on tv? like what what does that have to do with everything 
412,2021-05-07,any update on doge? 
413,2021-05-07,any update on doge? 
414,2021-05-07,any update on doge? 
415,2021-05-07,doge dump 
416,2021-05-07,shiba in :face_screaming_in_fear::face_screaming_in_fear: 
417,2021-05-07,"elon's tweet make fire in doge
an hour ago "
418,2021-05-07,should i invest in doge 
419,2021-05-07,doge target 
421,2021-05-07,do you think i should buy doge? 
423,2021-05-07,will doge go up 
424,2021-05-07,wow doge gaskin www 
425,2021-05-07,"hey guys
tell me about dogecoin today's night trend "
428,2021-05-07,doge 
429,2021-05-07,doge coin 
430,2021-05-07,doge to big to crash 
431,2021-05-07,i think doge must tb before 1 dollar 
433,2021-05-07,hello to all i want to buy dogecoin is there any tenurial to teach how to buy doge 
434,2021-05-07,you can buy holy doge in crypto.com app 
435,2021-05-07,"ask in the doge group, not here @elyas "
436,2021-05-07,please tell if this is the right time to buy doge? 
437,2021-05-07,"dogecoin 

flied uppp "
438,2021-05-07,how about buying doge at this time?? 
439,2021-05-07,is doge worth the hype 
440,2021-05-07,doge on 
441,2021-05-07,i cannot even sell my doge 
443,2021-05-07,dogecoin i inverted 
444,2021-05-07,"he did not message me first!!!! i message in the chat asking for help. then he message me. clamming to be a administrator, it took me a while to trust him or her. because you cannot get through you support i had a major issue last night when i bought doge coin and transferred it. it did not transfer all of it. and there is no support. "
445,2021-05-07,will doge will go down again? 
446,2021-05-07,it is the doge day. snp 
448,2021-05-07,buy doge 
449,2021-05-07,prediction of doge rise percentage? 
450,2021-05-07,"a lot of them will crash, some people made big money but a lot of people will lose a lot. I am thinking of doge "
451,2021-05-07,"there is 130 billion doge, hundred of million new doge daily and no limited supply :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: "
452,2021-05-07,holl is possible doge up this week? 
453,2021-05-07,have 500 doge 0'40 
454,2021-05-07,also twice tonight i hit sell on doge and it was sold at .04 below when i hit the button. meanwhile other exchanger have automatic take profits to prevent that. i am once again left very very frustrated with this app/exchange and at this point i think i will not be staring much longer.  
456,2021-05-07,who think doge going to increase 
457,2021-05-07,cro hhs more legitimacy and backing than doge 
458,2021-05-07,that doge pump is just ridiculous 
459,2021-05-07,group crested for doge? 
460,2021-05-07,"these days, all group are for doge :man_fairy: "
461,2021-05-07,"interest is just coming out of nowhere.....it is unfair.
well.......the world is about making money......right. and well..... everyone agree about haying interest.
so does doge.......:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: "
462,2021-05-07,should i invest in doge now? i do not have any in the wallet 
463,2021-05-07,dogecoin god? is not that heretic? :winking_face: 
464,2021-05-07,trader have coin the word doge morning 
465,2021-05-07,"it is actually quite simple. crypto.com hhs restless soon, crypto in general hhs doghood "
466,2021-05-07,so someone really believe ta works with doge. made my day. 
